WB_Code,Year,Population,GDP,GDP_per_capita
TGO,1961,1702717.0,178497098.264275,104.830748893841
TGO,1962,1732959.0,186745757.859216,107.761209503061
TGO,1963,1765072.0,202305865.235908,114.616211257053
TGO,1964,1803440.0,234572186.455851,130.069304471372
TGO,1965,1853771.0,264505506.022433,142.685102972499
TGO,1966,1918513.0,305227594.821437,159.095922113344
TGO,1967,1995890.0,327215843.636336,163.944828440613
TGO,1968,2080226.0,341691567.465593,164.256944901945
TGO,1969,2164814.0,378091809.602636,174.653254091407
TGO,1970,2244773.0,358665753.909298,159.778184212523
TGO,1971,2317976.0,404648367.76644,174.569696910771
TGO,1972,2384994.0,474043921.843537,198.7610542599
TGO,1973,2448749.0,574030983.980053,234.418057538789
TGO,1974,2511760.0,791450308.362944,315.097902810358
TGO,1975,2574622.0,871781686.907321,338.605700917386
TGO,1976,2637796.0,874681611.928369,331.595624501807
TGO,1977,2701894.0,1097893825.98815,406.342301359026
TGO,1978,2768148.0,1164025637.26464,420.507009475158
TGO,1979,2839854.0,1259365711.53521,443.461428487243
TGO,1980,2920894.0,1604836915.96662,549.433466591605
TGO,1981,3013043.0,1359026709.45126,451.047897242509
TGO,1982,3115042.0,1160337039.38068,372.494829726432
TGO,1983,3222899.0,1081387264.60786,335.532470799693
TGO,1984,3332837.0,1014170069.21689,304.296330488676
TGO,1985,3441091.0,1076604520.42427,312.867204158294
TGO,1986,3547952.0,1498219578.86978,422.277296555811
TGO,1987,3657508.0,1763978065.8368,482.289598775121
TGO,1988,3769742.0,1947208354.22555,516.536238879357
TGO,1989,3883411.0,1910635575.38044,491.999321055752
TGO,1990,3998761.0,2299665505.61434,575.094511928654
TGO,1991,4115560.0,2262767860.10937,549.808011573
TGO,1992,4233617.0,2390796915.91958,564.71733648074
TGO,1993,4207453.0,1741944426.20894,414.013995214907
TGO,1994,4222940.0,1387662121.46736,328.600956079736
TGO,1995,4410832.0,1849110468.19569,419.220334892756
TGO,1996,4577860.0,2069506014.46659,452.068436882428
TGO,1997,4725030.0,2116818622.95834,448.001096915436
TGO,1998,4860913.0,2241650112.33333,461.158245854911
TGO,1999,5000269.0,2226577203.91399,445.291484100954
TGO,2000,5140037.0,2106848752.27753,409.889802792768
TGO,2001,5277382.0,2093498674.49678,396.692654520135
TGO,2002,5413274.0,2410199032.43102,445.238691488925
TGO,2003,5552167.0,2987984050.99318,538.16537776929
TGO,2004,5696508.0,3191561508.69088,560.266308533382
TGO,2005,5844631.0,3221910408.46516,551.259850017077
TGO,2006,6010668.0,3320907721.74508,552.50227125256
TGO,2007,6188344.0,3759962853.26476,607.587886721352
TGO,2008,6368812.0,4578847112.70688,718.948386717473
TGO,2009,6551865.0,4721888275.26937,720.693768151415
TGO,2010,6732590.0,4746386893.22553,704.986772286079
TGO,2011,6916474.0,5422439152.10906,783.988944671672
TGO,2012,7100736.0,5413541649.14901,762.39162379069
TGO,2013,7285442.0,6021729629.82454,826.542799987227
TGO,2014,7472450.0,6393314707.85456,855.584809246574
TGO,2015,7663195.0,5755457836.01866,751.051987587248
TGO,2016,7858289.0,6071167584.1951,772.581357620609
TGO,2017,8057140.0,6387424239.8801,792.765700965864
TGO,2018,8258778.0,7029215766.46367,851.120561233595
TGO,2019,8463068.0,6992654019.28876,826.255209019798
TGO,2020,8669720.0,7486031561.86885,863.468665870276
TGO,2021,8878379.0,8541668141.26198,962.075187515872
TGO,2022,9089738.0,8646453099.4124,951.232378690387
TGO,2023,9304337.0,9816236302.58515,1055.01727877926
TGO,2024,9515236.0,10651180146.531,1119.38160509429
THA,1960,26851747.0,2760750860.62197,102.814571454958
THA,1961,27650334.0,3034037810.96795,109.728794269464
THA,1962,28481040.0,3308912796.93487,116.179493337844
THA,1963,29342322.0,3540403456.55305,120.658598748696
THA,1964,30232141.0,3889129942.30769,128.642226903734
THA,1965,31149337.0,4388937649.03846,140.899873696781
THA,1966,32086071.0,5279230817.30769,164.533414431069
THA,1967,33037801.0,5638461442.30769,170.666971518706
THA,1968,34002560.0,6081009427.88461,178.839752885801
THA,1969,34973782.0,6695336567.30769,191.438734515692
THA,1970,35954408.0,7086538437.5,197.097903475424
THA,1971,36937387.0,7375000024.03846,199.662201986255
THA,1972,37933929.0,8177873151.04224,215.582022917854
THA,1973,38947787.0,10838587357.7466,278.285062967675
THA,1974,39952891.0,13702998512.4492,342.978897633446
THA,1975,40940005.0,14882770593.9796,363.526350179478
THA,1976,41896504.0,16985208648.2112,405.408734060752
THA,1977,42843974.0,19779312261.3155,461.659141640678
THA,1978,43788976.0,24006566636.6855,548.233113208345
