Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg
2006,UZB,0,0,0,0,1,0,0,1,0.3333333333333333
2010,UZB,0,0,0,0,1,0,0,1,0.0
2014,UZB,0,0,0,0,1,0,0,1,0.0
2018,UZB,0,0,0,0,1,0,0,1,0.0
2022,UZB,0,0,0,0,1,0,0,1,0.0
2026,UZB,0,0,0,0,1,0,0,1,0.0
1998,VEN,0,0,0,0,0,0,0,0,0.0
2002,VEN,0,0,0,0,0,0,0,0,0.0
2006,VEN,0,0,0,0,0,0,0,0,0.0
2014,VEN,0,0,0,0,0,0,0,0,0.0
2026,VEN,0,0,0,0,0,0,0,0,0.0
1924,YUG,0,0,0,0,0,0,0,0,0.0
1928,YUG,0,0,0,0,0,0,0,0,0.0
1936,YUG,0,0,0,0,0,0,0,0,0.0
1948,YUG,0,0,0,0,0,0,0,0,0.0
1952,YUG,0,0,0,0,0,0,0,0,0.0
1956,YUG,0,0,0,0,0,0,0,0,0.0
1964,YUG,0,0,0,0,0,0,0,0,0.0
1968,YUG,0,0,0,0,0,0,0,0,0.0
1972,YUG,0,0,0,0,0,0,0,0,0.0
1976,YUG,0,0,0,0,0,0,0,0,0.0
1980,YUG,0,0,0,0,0,0,0,0,0.0
1984,YUG,0,1,0,1,0,0,0,0,0.0
1988,YUG,0,2,1,3,0,1,0,1,0.3333333333333333
1992,YUG,0,0,0,0,0,3,1,4,1.3333333333333333
2014,ZIM,0,0,0,0,0,0,0,0,0.0
