Year,Country,Gold,Silver,Bronze,Total
1988,CHN,0,0,0,0
1988,CRC,0,0,0,0
1988,CYP,0,0,0,0
1988,DEN,0,0,0,0
1988,ESP,0,0,0,0
1988,FIJ,0,0,0,0
1988,FIN,4,1,2,7
1988,FRA,1,0,1,2
1988,FRG,2,4,2,8
1988,GBR,0,0,0,0
1988,GDR,9,10,6,25
1988,GRE,0,0,0,0
1988,GUA,0,0,0,0
1988,GUM,0,0,0,0
1988,HUN,0,0,0,0
1988,IND,0,0,0,0
1988,ISL,0,0,0,0
1988,ISV,0,0,0,0
1988,ITA,2,1,2,5
1988,JAM,0,0,0,0
1988,JPN,0,0,1,1
1988,KOR,0,0,0,0
1988,LIB,0,0,0,0
1988,LIE,0,0,1,1
1988,LUX,0,0,0,0
1988,MAR,0,0,0,0
1988,MEX,0,0,0,0
1988,MGL,0,0,0,0
1988,MON,0,0,0,0
1988,NED,3,2,2,7
1988,NOR,0,3,2,5
1988,NZL,0,0,0,0
1988,PHI,0,0,0,0
1988,POL,0,0,0,0
1988,POR,0,0,0,0
1988,PRK,0,0,0,0
1988,PUR,0,0,0,0
1988,ROU,0,0,0,0
1988,SMR,0,0,0,0
1988,SUI,5,5,5,15
1988,SWE,4,0,2,6
1988,TCH,0,1,2,3
1988,TPE,0,0,0,0
1988,TUR,0,0,0,0
1988,URS,11,9,9,29
1988,USA,2,1,3,6
1988,YUG,0,2,1,3
1992,AHO,0,0,0,0
1992,ALG,0,0,0,0
1992,AND,0,0,0,0
1992,ARG,0,0,0,0
1992,AUS,0,0,0,0
1992,AUT,6,7,8,21
1992,BEL,0,0,0,0
1992,BER,0,0,0,0
1992,BOL,0,0,0,0
1992,BRA,0,0,0,0
1992,BUL,0,0,0,0
1992,CAN,2,3,2,7
1992,CHI,0,0,0,0
1992,CHN,0,3,0,3
1992,CRC,0,0,0,0
1992,CRO,0,0,0,0
1992,CYP,0,0,0,0
1992,DEN,0,0,0,0
1992,ESP,0,0,1,1
1992,EST,0,0,0,0
1992,EUN,9,6,8,23
1992,FIN,3,1,3,7
1992,FRA,3,5,1,9
1992,GBR,0,0,0,0
1992,GER,10,10,6,26
1992,GRE,0,0,0,0
