Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Vehicles_Per_1000,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total,Coastline_Length_Km,Average_Elevation_Meters,Avg_Temperature_C,Avg_Snowfall_Cm_Per_Year,Sunshine_Days_Per_Year,Number_of_Universities,Number_of_Ski_Resorts,Professional_Sports_Stadiums,Avg_Work_Hours_Per_Year,Global_Peace_Index_Score,Military_Expenditure_Pct_GDP,Active_Military_Personnel_Thousands,Healthcare_Spending_USD,Military_Expenditure_USD,Education_Spending_USD,Medals_Per_Million,Medals_Per_Billion_GDP,Medals_Per_GDP_Per_Capita,Medals_Per_HDI,Medals_Per_1000_SqKm,Medals_Per_1000_Km_Coastline,Medals_Per_100m_Elevation,Medals_Per_Degree_Temp,Medals_Per_100_Sunshine_Days,Medals_Per_100_Cm_Snowfall,Medals_Per_Million_Internet_Users,Medals_Per_1000_Vehicles,Medals_Per_University,Medals_Per_Stadium,Medals_Per_Ski_Resort,Medals_Per_Pct_Healthcare_Spending,Medals_Per_Year_Life_Expectancy,Medals_Per_100_Work_Hours,Medals_Per_Peace_Index_Point,Medals_Per_Pct_Military_Spending,Medals_Per_1000_Military_Personnel,Medals_Per_Pct_Education_Spending,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
1960,NOR,3,3,0,6,33,27,27,87,10.0,NOR,3581239.0,5197398721.41367,1451.2850779894,,1.0,Arctic/Subarctic,-5.0,10.0,,1.6753978162306398,1.1544236495228957,41.34266996193717,0.0,0.8376989081153199,0.5772118247614478,20.671334980968584,0.0,,,,,,,73.549756097561,,25148.0,460.0,1.5,200.0,180.0,8.0,220.0,4.0,,1.465,,,,,,1.6753978162306398,1.1544236495228957,41.34266996193717,0.0,0.0,0.2385875616351201,1.3043478260869563,4.0,3.333333333333333,3.0,0.0,0.0,0.75,1.5,0.0272727272727272,0.0,0.0815774289182036,0.0,4.09556313993174,0.0,0.0,0.0,29.0,7.0,3.0,4.0,0.0,9.0,3.0,6.0,0.0
1960,NZL,0,0,0,0,0,0,0,0,0.0,NZL,2371800.0,5536098360.49526,2334.1337214332,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,71.2365853658537,,15134.0,388.0,10.9,200.0,230.0,8.0,27.0,,,1.313,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,POL,0,1,1,2,0,0,1,1,0.3333333333333333,POL,29637450.0,,,,2.0,Continental,5.0,7.0,,0.0674821889197619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,67.6804878048781,,440.0,173.0,8.5,60.0,190.0,400.0,100.0,15.0,,1.654,,,,,,0.0674821889197619,0.0,0.0,0.0,0.0,4.545454545454546,1.1560693641618498,0.2352941176470588,1.0526315789473684,3.333333333333333,0.0,0.0,0.005,0.1333333333333333,0.02,0.0,0.0295506144365562,0.0,1.2091898428053205,0.0,0.0,0.0,13.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
1960,RSA,0,0,0,0,0,0,0,0,0.0,ZAF,16440172.0,8748596500.5614,532.147504330332,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,52.575,,2798.0,1034.0,18.5,,300.0,26.0,,10.0,,2.407,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,SUI,2,0,0,2,9,9,7,25,5.666666666666667,CHE,5327827.0,10412232620.5258,1954.3113206427,,2.0,Continental,5.0,7.0,,0.375387564198312,0.1920817631424568,10.233784038779834,0.0,0.375387564198312,0.1920817631424568,10.233784038779834,0.0,,,,,,,71.3134146341463,,0.0,1350.0,6.0,140.0,190.0,12.0,200.0,6.0,,1.35,,,,,,0.375387564198312,0.1920817631424568,10.233784038779834,0.0,0.0,0.0,0.1481481481481481,0.3333333333333333,1.0526315789473684,1.4285714285714286,0.0,0.0,0.1666666666666666,0.3333333333333333,0.01,0.0,0.0280452143577817,0.0,1.4814814814814814,0.0,0.0,0.0,21.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
1960,SWE,3,2,2,7,12,14,15,41,8.0,SWE,7484656.0,15930075466.8898,2128.36441205712,,1.0,Arctic/Subarctic,-5.0,10.0,,0.9352467234299078,0.4394203916076416,32.88910470568485,0.0,0.4008200243271033,0.1883230249747035,14.095330588150652,0.0,,,,,,,73.0056097560976,,3218.0,320.0,2.1,180.0,200.0,48.0,200.0,8.0,,1.339,,,,,,0.9352467234299078,0.4394203916076416,32.88910470568485,0.0,0.0,2.175264139216905,2.1875,3.333333333333333,3.5,3.888888888888889,0.0,0.0,0.1458333333333333,0.875,0.035,0.0,0.0958830427331009,0.0,5.227781926811053,0.0,0.0,0.0,47.0,7.0,5.0,1.0,1.0,9.0,5.0,2.0,2.0
1960,TUR,0,0,0,0,0,0,0,0,0.0,TUR,28329898.0,7566666666.66667,267.091207552765,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.799,,7200.0,1132.0,11.1,,270.0,207.0,25.0,20.0,,2.37,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,USA,3,4,3,10,19,20,13,52,8.666666666666666,USA,180671000.0,541988586206.897,2999.86487154495,,2.0,Continental,5.0,7.0,,0.0553492259410752,0.0184505730461685,33.33483482824323,0.0,0.0166047677823225,0.0055351719138505,10.00045044847297,0.0,,,,,,,69.7707317073171,,19924.0,760.0,8.5,70.0,260.0,4000.0,470.0,120.0,,1.953,,,,,,0.0553492259410752,0.0184505730461685,33.33483482824323,0.0,0.0,0.5019072475406545,1.3157894736842106,1.1764705882352942,3.846153846153846,14.285714285714286,0.0,0.0,0.0025,0.0833333333333333,0.0212765957446808,0.0,0.1433265748444381,0.0,5.120327700972863,0.0,0.0,0.0,79.0,26.0,19.0,3.0,4.0,27.0,19.0,4.0,4.0
1964,ARG,0,0,0,0,0,0,0,0,0.0,ARG,21769453.0,25605249381.7597,1176.20086190313,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2736690.0,2780400.0,,,,,64.816,,4989.0,595.0,14.9,50.0,260.0,130.0,20.0,25.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,AUS,0,0,0,0,1,0,0,1,0.0,AUS,11167000.0,23835843813.735,2134.48946124608,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7682300.0,7741220.0,,,,,70.8809756097561,,25760.0,330.0,21.7,,310.0,43.0,12.0,15.0,,1.525,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
