Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2020,MAD,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,MAR,1,0,0,1,45,1,1,0,0,1,1,0,0
2020,MAS,0,1,1,2,30,3,0,1,2,3,0,1,2
2020,MAW,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,MDA,0,0,1,1,20,1,0,0,1,1,0,0,1
2020,MDV,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,MEX,0,0,4,4,162,27,0,0,27,27,0,0,27
2020,MGL,0,1,3,4,43,4,0,1,3,4,0,1,3
2020,MHL,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,MKD,0,1,0,1,8,1,0,1,0,1,0,1,0
2020,MLI,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,MLT,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,MNE,0,0,0,0,35,0,0,0,0,0,0,0,0
2020,MON,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,MOZ,0,0,0,0,10,0,0,0,0,0,0,0,0
2020,MRI,0,0,0,0,8,0,0,0,0,0,0,0,0
2020,MTN,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,MYA,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,NAM,0,1,0,1,11,1,0,1,0,1,0,1,0
2020,NCA,0,0,0,0,8,0,0,0,0,0,0,0,0
2020,NED,10,12,14,36,283,65,31,21,17,72,33,22,17
2020,NEP,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,NGR,0,1,1,2,58,2,0,1,1,2,0,1,1
2020,NIG,0,0,0,0,7,0,0,0,0,0,0,0,0
2020,NOR,4,2,2,8,93,23,5,2,16,23,5,2,16
2020,NRU,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,NZL,7,6,7,20,226,61,27,28,8,65,29,28,8
2020,OMA,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,PAK,0,0,0,0,10,0,0,0,0,0,0,0,0
2020,PAN,0,0,0,0,10,0,0,0,0,0,0,0,0
2020,PAR,0,0,0,0,8,0,0,0,0,0,0,0,0
2020,PER,0,0,0,0,35,0,0,0,0,0,0,0,0
2020,PHI,1,2,1,4,19,4,1,2,1,4,1,2,1
2020,PLE,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,PLW,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,PNG,0,0,0,0,8,0,0,0,0,0,0,0,0
2020,POL,4,5,5,14,212,30,14,14,8,36,14,14,8
2020,POR,1,1,2,4,93,4,1,1,2,4,1,1,2
2020,PUR,1,0,0,1,37,1,1,0,0,1,1,0,0
2020,QAT,2,0,1,3,16,4,2,0,2,4,2,0,2
2020,ROC,20,28,23,71,337,129,36,79,24,148,41,80,27
2020,ROU,1,3,0,4,104,9,2,7,0,9,2,7,0
2020,RSA,1,2,0,3,180,2,1,2,0,3,1,2,0
2020,RWA,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,SAM,0,0,0,0,8,0,0,0,0,0,0,0,0
2020,SEN,0,0,0,0,9,0,0,0,0,0,0,0,0
2020,SEY,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,SGP,0,0,0,0,23,0,0,0,0,0,0,0,0
2020,SKN,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,SLE,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,SLO,3,1,1,5,53,5,3,1,1,5,3,1,1
2020,SMR,0,1,2,3,5,3,0,2,2,4,0,2,2
2020,SOL,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,SOM,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,SRB,3,1,5,9,87,35,15,1,19,35,15,1,19
2020,SRI,0,0,0,0,9,0,0,0,0,0,0,0,0
2020,SSD,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,STP,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,SUD,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,SUI,3,4,6,13,116,13,3,5,7,15,3,5,7
2020,SUR,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,SVK,1,2,1,4,41,7,1,2,4,7,1,2,4
2020,SWE,3,6,0,9,135,33,6,28,0,34,6,28,0
2020,SWZ,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,SYR,0,0,1,1,6,1,0,0,1,1,0,0,1
2020,TAN,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,TGA,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,THA,1,0,1,2,41,2,1,0,1,2,1,0,1
2020,TJK,0,0,0,0,10,0,0,0,0,0,0,0,0
2020,TKM,0,1,0,1,9,1,0,1,0,1,0,1,0
2020,TLS,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,TOG,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,TPE,2,4,6,12,68,16,3,6,7,16,3,6,7
2020,TTO,0,0,0,0,31,0,0,0,0,0,0,0,0
2020,TUN,1,1,0,2,63,2,1,1,0,2,1,1,0
2020,TUR,2,2,9,13,107,13,2,2,9,13,2,2,9
2020,TUV,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,UAE,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,UGA,2,1,1,4,25,3,2,1,1,4,2,1,1
2020,UKR,1,6,12,19,153,25,1,7,19,29,1,7,21
2020,URU,0,0,0,0,11,0,0,0,0,0,0,0,0
2020,USA,39,41,33,113,628,259,103,106,74,297,113,109,75
2020,UZB,3,0,2,5,67,5,3,0,2,5,3,0,2
2020,VAN,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,VEN,1,3,0,4,43,4,1,3,0,4,1,3,0
2020,VIE,0,0,0,0,18,0,0,0,0,0,0,0,0
2020,VIN,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,YEM,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,ZAM,0,0,0,0,30,0,0,0,0,0,0,0,0
2020,ZIM,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,AFG,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,AIN,1,3,1,5,32,6,1,4,1,6,1,4,1
2024,ALB,0,0,2,2,8,2,0,0,2,2,0,0,2
2024,ALG,2,0,1,3,46,3,2,0,1,3,2,0,1
2024,AND,0,0,0,0,2,0,0,0,0,0,0,0,0
2024,ANG,0,0,0,0,24,0,0,0,0,0,0,0,0
2024,ANT,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,ARG,1,1,1,3,145,19,1,2,16,19,1,2,16
2024,ARM,0,3,1,4,15,4,0,3,1,4,0,3,1
2024,ARU,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,ASA,0,0,0,0,2,0,0,0,0,0,0,0,0
2024,AUS,18,19,16,53,467,93,26,41,41,121,32,45,44
2024,AUT,2,0,3,5,81,6,3,0,3,6,3,0,3
2024,AZE,2,2,3,7,48,7,2,2,3,7,2,2,3
2024,BAH,0,0,0,0,18,0,0,0,0,0,0,0,0
2024,BAN,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,BAR,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,BDI,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,BEL,3,1,6,10,168,9,2,1,6,10,3,1,6
2024,BEN,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,BER,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,BHU,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,BIH,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,BIZ,0,0,0,0,1,0,0,0,0,0,0,0,0
2024,BOL,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,BOT,1,1,0,2,12,4,1,4,0,5,1,4,0
2024,BRA,3,7,10,20,287,61,4,27,34,67,4,28,35
2024,BRN,2,1,1,4,14,4,2,1,1,4,2,1,1
2024,BRU,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,BUL,3,1,3,7,46,7,3,1,3,7,3,1,3
2024,BUR,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,CAF,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,CAM,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,CAN,9,7,11,27,322,50,10,29,13,55,12,29,14
2024,CAY,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,CGO,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,CHA,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,CHI,1,1,0,2,48,2,1,1,0,2,1,1,0
