Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI,Land_Area_SqKm,Surface_Area_SqKm,Internet_Users_Pct,Vehicles_Per_1000,Healthcare_Spending_Pct_GDP,Healthcare_Spending_Per_Capita_USD,Life_Expectancy_Years,Labor_Force_Total,Coastline_Length_Km,Average_Elevation_Meters,Avg_Temperature_C,Avg_Snowfall_Cm_Per_Year,Sunshine_Days_Per_Year,Number_of_Universities,Number_of_Ski_Resorts,Professional_Sports_Stadiums,Avg_Work_Hours_Per_Year,Global_Peace_Index_Score,Military_Expenditure_Pct_GDP,Active_Military_Personnel_Thousands,Healthcare_Spending_USD,Military_Expenditure_USD,Education_Spending_USD,Medals_Per_Million,Medals_Per_Billion_GDP,Medals_Per_GDP_Per_Capita,Medals_Per_HDI,Medals_Per_1000_SqKm,Medals_Per_1000_Km_Coastline,Medals_Per_100m_Elevation,Medals_Per_Degree_Temp,Medals_Per_100_Sunshine_Days,Medals_Per_100_Cm_Snowfall,Medals_Per_Million_Internet_Users,Medals_Per_1000_Vehicles,Medals_Per_University,Medals_Per_Stadium,Medals_Per_Ski_Resort,Medals_Per_Pct_Healthcare_Spending,Medals_Per_Year_Life_Expectancy,Medals_Per_100_Work_Hours,Medals_Per_Peace_Index_Point,Medals_Per_Pct_Military_Spending,Medals_Per_1000_Military_Personnel,Medals_Per_Pct_Education_Spending,Total_Athletes,Individual_Medalists,Total_Medals_Awarded
1960,HAI,0,0,0,0,1,1,1,3,0.6666666666666666,HTI,3858443.0,273187200.0,70.8024454423715,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,43.44,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,1,0,0
1972,HAI,0,0,0,0,1,1,1,3,0.3333333333333333,HTI,4813868.0,371998958.402916,77.2765182599349,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,27560.0,27750.0,,,,,47.884,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,7,0,0
1976,HAI,0,0,0,0,1,1,1,3,0.0,HTI,5198357.0,879000000.0,169.091888071558,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,27560.0,27750.0,,,,,48.972,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,13,0,0
1984,HAI,0,0,0,0,1,1,1,3,0.0,HTI,6069230.0,1816200000.0,299.247186216373,,5.0,Tropical,26.0,0.0,0.986190021038055,0.0,0.0,0.0,,0.0,0.0,0.0,,27560.0,27750.0,,,,,51.254,,,,,,,,,,,,,,,,17911183.162093155,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,0.0,3,0,0
1988,HAI,0,0,0,0,1,1,1,3,0.0,HTI,6578145.0,2613926800.0,397.365336276412,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,27560.0,27750.0,,,,,52.554,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,4,0,0
1992,HAI,0,0,0,0,1,1,1,3,0.0,HTI,7136571.0,2257129791.61575,316.276513134354,0.435,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,,,,,54.041,2742384.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,7,0,0
1996,HAI,0,0,0,0,1,1,1,3,0.0,HTI,7707557.0,2907517603.76719,377.229465025972,0.45,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,0.00748,,,,56.111,2918130.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,7,0,0
2000,HAI,0,0,0,0,1,1,1,3,0.0,HTI,8303151.0,6813566098.8675,820.600046761464,0.47,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,0.231271,,3.99165702,30.35855865,58.175,3103912.0,,,,,,,,,,,,5.3,252071696.6133061,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,5,0,0
2004,HAI,0,0,0,0,1,1,1,3,0.0,HTI,8910263.0,6087360684.2969,683.185298155273,0.479,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,5.40126,,3.42928433,24.0406456,58.517,3464730.0,,,,,,,,,,,,,214208474.9857928,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,8,0,0
2008,HAI,0,0,0,0,1,1,1,3,0.0,HTI,9530774.0,10432962634.8748,1094.66058421644,0.503,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,7.6,,3.75722051,40.445961,61.28,3894117.0,,,,,,,,,,,,,385481313.503814,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,7,0,0
2012,HAI,0,0,0,0,1,1,1,3,0.0,HTI,10069771.0,13708925477.1304,1361.39396587374,0.517,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,9.8,,5.56462336,75.08546448,62.273,4270619.0,,,,,,,,,,,,0.0,756093432.7422341,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,5,0,0
2016,HAI,0,0,0,0,1,1,1,3,0.0,HTI,10671457.0,14069277526.2278,1318.40268167953,0.532,5.0,Tropical,26.0,0.0,1.38776004314423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,22.8,,4.80760574,60.06819153,63.325,4644004.0,,,,,,,,,,,0.049,0.2,641015122.9801592,6893945.987851622,195247811.8680604,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,10,0,0
2020,HAI,0,0,0,0,1,1,1,3,0.0,HTI,11243848.0,14508222518.3018,1290.32538667383,0.54,5.0,Tropical,26.0,0.0,1.11353641558643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,27750.0,,,3.78651953,52.2158699,63.773,4940938.0,,,,,,,,,,,0.103,1.0,587107304.3433752,14943469.193850853,161554340.99560115,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,6,0,0
2024,HAI,0,0,0,0,1,1,1,3,0.0,HTI,11772557.0,25224154990.7946,2142.62330526788,,5.0,Tropical,26.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,5181956.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,7,0,0
1960,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0
1964,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,0
1968,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0
1972,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0
1976,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0
1984,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,0
1988,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0
1992,HKG,0,0,0,0,0,0,0,0,0.0,HKG,,,,0.802,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,38,0,0
1996,HKG,1,0,0,1,0,0,0,0,0.0,HKG,,,,0.831,,,,,,,,,1.203369434416366,,,,1.203369434416366,,,,,,,,,,,,,,,,,,,,,,,,,,,1.203369434416366,,,,,,,,,,,,,,,,,,,23,1,1
2000,HKG,0,0,0,0,1,0,0,1,0.3333333333333333,HKG,,,,0.851,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,31,0,0
2004,HKG,0,1,0,1,1,0,0,1,0.3333333333333333,HKG,,,,0.872,,,,,,,,,1.146788990825688,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146788990825688,,,,,,,,,,,,,,,,,,,32,2,2
2008,HKG,0,0,0,0,1,1,0,2,0.6666666666666666,HKG,,,,0.899,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,34,0,0
2012,HKG,0,0,1,1,1,1,0,2,0.3333333333333333,HKG,,,,0.918,,,,,,,,,1.0893246187363834,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0893246187363834,,,,,,,,,,,,,,,,,,,41,1,1
2016,HKG,0,0,0,0,1,1,1,3,0.6666666666666666,HKG,,,,0.938,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,37,0,0
2020,HKG,1,2,3,6,1,1,1,3,0.3333333333333333,HKG,,,,0.949,,,,,,,,,6.322444678609062,,,,1.053740779768177,,,,,,,,,,,,,,,,,,,,,,,,,,,6.322444678609062,,,,,,,,,,,,,,,,,,,65,8,8
2024,HKG,2,0,2,4,2,3,4,9,2.333333333333333,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,4
1968,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0
1976,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0
1984,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0
1988,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0
1992,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.521,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,10,0,0
1996,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.539,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,7,0,0
2000,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.556,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,20,0,0
2004,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.572,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,5,0,0
2008,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.591,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,25,0,0
2012,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.599,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,25,0,0
2016,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.618,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,23,0,0
2020,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,0.621,5.0,Tropical,26.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,28,0,0
2024,HON,0,0,0,0,0,0,0,0,0.0,HND,,,,,5.0,Tropical,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0
1960,HUN,6,8,7,21,71,55,63,189,31.666666666666668,HUN,9983512.0,,,,,,,,,2.103468198365465,,,,0.6009909138187043,,,,,,,,,,68.0031707317073,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,,2.103468198365465,,,,,,14.685314685314683,1.9626168224299068,,,,,0.75,,,,0.3088091301338174,,14.8830616583983,,,,184,59,66
1964,HUN,10,7,5,22,77,63,70,210,29.666666666666668,HUN,10119835.0,,,,,,,,,2.17394848829057,,,,0.9881584037684408,,,,90030.0,93030.0,,,,,69.3809756097561,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,,2.17394848829057,,,,0.2443629901144063,,15.384615384615383,2.0560747663551404,,,,,0.7857142857142857,,,,0.3170898046136214,,15.591778880226787,,,,182,53,56
1968,HUN,10,10,12,32,87,70,75,232,23.0,HUN,10255815.0,4886222554.66355,476.434350138292,,,,,,,3.120181087509866,6.549026296286542,671.6560212485001,,0.9750565898468332,2.0465707175895447,209.89250664015628,,89990.0,93030.0,,,,,69.230243902439,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,,3.120181087509866,6.549026296286542,671.6560212485001,,0.3555950661184576,,22.377622377622377,2.990654205607477,,,,,1.1428571428571428,,,,0.4622257296261328,,22.678951098511693,,,,167,75,81
1972,HUN,6,13,16,35,97,80,87,264,25.0,HUN,10398489.0,7379313742.13684,709.652502602719,,,,,,3.36103010177612,3.365873637987212,4.742988470614206,493.19913438808607,,0.5770069093692363,0.8130837378195781,84.54842303795762,,89970.0,93030.0,,,,,69.6646341463415,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,248020956.17772105,3.365873637987212,4.742988470614206,493.19913438808607,,0.3890185617428031,,24.47552447552448,3.2710280373831777,,,,,1.25,,,,0.5024070021881836,,24.80510276399717,,,10.413474125538007,232,75,81
1976,HUN,4,5,13,22,103,93,103,299,29.666666666666668,HUN,10598677.0,13235612078.8396,1248.79851313891,,,,,,3.53689002990723,2.0757307728124936,1.662182290396108,176.16933211028598,,0.377405595056817,0.3022149618902015,32.03078765641564,,89950.0,93030.0,,,,,69.5731707317073,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,468129044.0136749,2.0757307728124936,1.662182290396108,176.16933211028598,,0.2445803224013341,,15.384615384615383,2.0560747663551404,,,,,0.7857142857142857,,,,0.3162138475021911,,15.591778880226787,,,6.2201538113914845,178,51,55
1980,HUN,7,10,15,32,107,98,116,321,29.666666666666668,HUN,10711122.0,23116977148.0216,2158.22181355246,,,,,,4.30394983291626,2.987548830085214,1.3842640322347954,148.27020929478792,,0.6535263065811406,0.3028077570513615,32.434108283234856,,89910.0,93030.0,,,,,69.0617073170732,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,994943099.3375655,2.987548830085214,1.3842640322347954,148.27020929478792,,0.3559114670225781,,22.377622377622377,2.990654205607477,,,,,1.1428571428571428,,,,0.4633537345534038,,22.678951098511693,,,7.435030900050598,263,56,61
1988,HUN,11,6,6,23,114,108,131,353,29.666666666666668,HUN,10596487.0,29799838597.4079,2812.23754602897,,,,,,4.49736022949219,2.170530667380614,0.7718162608437961,81.785409744199,,1.038079884399424,0.3691295160557286,39.11476118200822,,89870.0,93030.0,,,,,70.0234146341463,,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,1340206089.5326862,2.170530667380614,0.7718162608437961,81.785409744199,,0.2559252253254701,,16.083916083916083,2.149532710280374,,,,,0.8214285714285714,,,,0.3284615598963414,,16.30049610205528,,,5.114111128829232,188,38,44
1992,HUN,11,12,7,30,125,114,137,376,25.666666666666668,HUN,10369341.0,38857339124.9084,3747.32966394956,0.714,,,,,6.07956981658935,2.893144318428722,0.7720549238732959,80.05700776371248,42.01680672268908,1.0608195834238647,0.2830868054202085,29.354236180027907,15.406162464985997,89870.0,93030.0,0.0484,,,,69.1170731707317,4280411.0,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,2362359060.967696,2.893144318428722,0.7720549238732959,80.05700776371248,42.01680672268908,0.3338155112940915,,20.97902097902098,2.8037383177570097,,,5977.570905844467,,1.0714285714285714,,,,0.4340461571035359,,21.261516654854717,,,4.934559665412323,217,35,45
1996,HUN,7,4,10,21,136,126,144,406,28.33333333333333,HUN,10311238.0,46833767123.6915,4542.0120380978,0.741,,,,,4.33475017547607,2.036612868406296,0.4483944232915841,46.23501616432269,28.34008097165992,0.678870956135432,0.1494648077638613,15.411672054774227,9.446693657219972,89860.0,93030.0,0.969,,,,70.3287804878049,4306901.0,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,2030126802.576271,2.036612868406296,0.4483944232915841,46.23501616432269,28.34008097165992,0.2336968617849989,,14.685314685314683,1.9626168224299068,,,210.1767666053969,,0.75,,,,0.2985975279870155,,14.8830616583983,,,4.844569848294348,213,40,43
2000,HUN,8,6,3,17,143,130,154,427,24.666666666666668,HUN,10210971.0,47275954428.9586,4629.91760812548,0.773,,,,,4.86840009689331,1.6648759456862623,0.3595908365117374,36.71771603487089,21.992238033635186,0.7834710332641235,0.169219217181994,17.27892519288042,10.349288486416558,89620.0,93030.0,6.99968,,6.76979256,313.10858154,71.2463414634146,4344023.0,0.0,143.0,10.7,,,28.0,,,1940.3,1.411,1.514,57.8,3197142645.956075,715757950.0544332,2301582611.226658,1.6648759456862623,0.3595908365117374,36.71771603487089,21.992238033635186,0.1896898013836197,,11.888111888111888,1.588785046728972,,,23.785029396861887,,0.6071428571428571,,,2.5111552310252767,0.2386087432816406,0.8761531721898675,12.048192771084338,11.228533685601056,294.11764705882354,3.4919069225325736,178,49,53
2004,HUN,8,6,3,17,151,136,157,444,22.666666666666668,HUN,10107146.0,104015363080.271,10291.2694721409,0.801,,,,,5.32762002944946,1.6819782755685928,0.1634373951747946,16.51885614891345,21.22347066167291,0.7915191885028672,0.0769117153763739,7.773579364194565,9.987515605493131,89620.0,93030.0,27.74,,7.76592064,798.45361328,72.6487804878049,4441310.0,0.0,143.0,10.7,,,28.0,,,1850.9,1.411,1.473,46.0,8070087243.6484995,1532146298.172392,5541543317.169097,1.6819782755685928,0.1634373951747946,16.51885614891345,21.22347066167291,0.1896898013836197,,11.888111888111888,1.588785046728972,,,6.06336797248952,,0.6071428571428571,,,2.1890514709148507,0.2340025515342778,0.9184720946566536,12.048192771084338,11.541072640868974,369.5652173913043,3.190918253559597,209,38,40
2008,HUN,3,5,2,10,159,142,160,461,18.33333333333333,HUN,10038188.0,158228265915.534,15762.6322515113,0.823,,,,,4.9676399230957,0.99619572775485,0.0631998331153944,6.34411806380956,12.150668286755772,0.2988587183264549,0.0189599499346183,1.903235419142868,3.645200486026732,89610.0,93030.0,61.0,,7.09275723,1117.20227051,73.7024390243903,4452834.0,0.0,143.0,10.7,,,28.0,,,1790.6,1.411,1.18,37.0,11214686425.406237,1867093537.803301,7860210507.242091,0.99619572775485,0.0631998331153944,6.34411806380956,12.150668286755772,0.1115946880928467,,6.993006993006993,0.9345794392523366,,,1.6331077504177864,,0.3571428571428571,,,1.4098889438515294,0.1356807201006022,0.5584720205517704,7.087172218284904,8.474576271186441,270.27027027027026,2.013028350446195,171,23,27
2012,HUN,8,4,6,18,162,147,162,471,14.666666666666666,HUN,9920362.0,128470269689.958,12950.1594488143,0.831,,,,,4.14249992370605,1.814449916242976,0.1401102375159642,13.899442760643428,21.660649819494587,0.8064221849968782,0.0622712166737619,6.177530115841523,9.626955475330927,90530.0,93030.0,70.58,,7.43047714,961.1383667,75.0634146341463,4485535.0,0.0,143.0,10.7,,,28.0,,,1744.7,1.411,1.029,38.5,9534840529.752745,1321959075.1096675,5321880823.891466,1.814449916242976,0.1401102375159642,13.899442760643428,21.660649819494587,0.1988291174196399,,12.587412587412588,1.6822429906542058,,,2.5707706379186392,,0.6428571428571429,,,2.4224554710089587,0.2397972446061868,1.0316959935805583,12.756909992912828,17.49271137026239,467.53246753246754,4.345202252628278,152,23,26
2016,HUN,8,3,4,15,170,151,168,489,15.0,HUN,9759755.0,128983560865.293,13215.8605277789,0.843,,,,,4.61547994613647,1.5369238264690046,0.1162938896970413,11.349998714401496,17.793594306049823,0.8196927074501358,0.062023407838422,6.053332647680799,9.489916963226571,91260.0,93030.0,79.2594,,6.96752644,918.94506836,76.0634146341464,4780556.0,0.0,143.0,10.7,,,28.0,,,1755.9,1.411,0.999,39.8,8968678725.651852,1288545773.0442772,5953210385.550326,1.5369238264690046,0.1162938896970413,11.349998714401496,17.793594306049823,0.1643655489809336,,10.48951048951049,1.4018691588785048,,,1.939106057412754,,0.5357142857142857,,,2.1528443600710614,0.1972038735329954,0.8542627712284299,10.630758327427356,15.015015015015017,376.8844221105528,3.249932872648751,154,15,22
2020,HUN,6,7,7,20,178,154,172,504,14.333333333333334,HUN,9670419.0,158468487754.196,16386.9308821258,0.849,,,,,4.1535701751709,2.068162713528752,0.1262080574090064,12.20484796321146,23.557126030624264,0.6204488140586255,0.0378624172227019,3.661454388963437,7.06713780918728,91260.0,93030.0,84.7712,,7.230515,1182.54138184,75.419512195122,4829178.0,0.0,143.0,10.7,,,28.0,,,1653.1,1.411,1.746,46.0,11435670647.23179,2766859796.1882625,6582099844.402636,2.068162713528752,0.1262080574090064,12.20484796321146,23.557126030624264,0.2191540653079114,,13.986013986013988,1.869158878504673,,,2.439699701701465,,0.7142857142857143,,,2.766054700114722,0.2651833645947867,1.209848164055411,14.174344436569807,11.45475372279496,434.7826086956522,4.815134729047185,237,51,51
2024,HUN,6,7,6,19,184,161,179,524,17.666666666666668,HUN,9562065.0,222722738925.641,23292.3263882478,,,,,,,1.9870184944360867,0.0853078589624538,8.157192924098169,,0.6274795245587642,0.0269393238828801,2.575955660241527,,,,93.779,,,,,4965018.0,0.0,143.0,10.7,,,28.0,,,,1.411,,,,,,1.9870184944360867,0.0853078589624538,8.157192924098169,,,,13.286713286713288,1.7757009345794394,,,2.118830969018743,,0.6785714285714286,,,,,,13.465627214741318,,,,177,24,30
1960,INA,0,0,0,0,0,0,0,0,0.0,IDN,88296070.0,,,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,,,,0.0,,,,,,,,,,46.835,,54716.0,,,,,4621.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,22,0,0
1968,INA,0,0,0,0,0,0,0,0,0.0,IDN,109450006.0,7076465299.81141,64.6547730642556,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1811570.0,1910930.0,,,,,51.888,,54716.0,,,,,4621.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,6,0,0
1972,INA,0,0,0,0,0,0,0,0,0.0,IDN,122039841.0,10997590361.4458,90.1147549138956,,4.0,Mediterranean/Subtropical,18.0,2.0,2.78820991516113,0.0,0.0,0.0,,0.0,0.0,0.0,,1811570.0,1910930.0,,,,,54.364,,54716.0,,,,,4621.0,,,,,,,,,306635904.88663656,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,6,0,0
1976,INA,0,0,0,0,0,0,0,0,0.0,IDN,135173655.0,37269156626.506,275.713167824796,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1811570.0,1910930.0,,,,,56.445,,54716.0,,,,,4621.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,7,0,0
1984,INA,0,0,0,0,0,0,0,0,0.0,IDN,163251124.0,84853700027.651,519.774063103241,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1811570.0,1910930.0,,,,,60.891,,54716.0,,,,,4621.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,16,0,0
1988,INA,0,1,0,1,0,0,0,0,0.0,IDN,176855065.0,84300174485.7973,476.662483405818,,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0056543475302785,0.0118623716510631,20.979205094029314,,0.0,0.0,0.0,,1811570.0,1910930.0,,,,,62.386,,54716.0,,,,,4621.0,,,,,,,,,,0.0056543475302785,0.0118623716510631,20.979205094029314,,0.0005520073748185,0.0182761897799546,,,,,,,0.0002164033758926,,,,0.0160292373288878,,,,,,29,3,3
1992,INA,2,2,1,5,0,1,0,1,0.3333333333333333,IDN,190043744.0,128026966579.964,673.67103954742,0.54,4.0,Mediterranean/Subtropical,18.0,2.0,,0.0263097321425113,0.039054272186298,74.22020105479163,9.25925925925926,0.0105238928570045,0.0156217088745192,29.688080421916656,3.7037037037037033,1811570.0,1910930.0,,,,,64.182,82135691.0,54716.0,,,,,4621.0,,,,,,,,,,0.0263097321425113,0.039054272186298,74.22020105479163,9.25925925925926,0.0027600368740926,0.0913809488997733,,,,,,,0.0010820168794633,,,,0.0779034620298526,,,,,,42,6,6
1996,INA,1,1,2,4,2,3,1,6,2.0,IDN,203204348.0,227369679374.973,1118.92133024129,0.578,4.0,Mediterranean/Subtropical,18.0,2.0,1.07854998111725,0.019684618165749,0.017592495230656,35.74871523038549,6.920415224913495,0.0049211545414372,0.004398123807664,8.937178807596373,1.7301038062283738,1811570.0,1910930.0,0.0566,,,,65.465,91432137.0,54716.0,,,,,4621.0,,,,,,,,,2452295633.965123,0.019684618165749,0.017592495230656,35.74871523038549,6.920415224913495,0.0022080294992741,0.0731047591198187,,,,,34.77847732464504,,0.0008656135035706,,,,0.06110135186741,,,,,3.708683018895864,40,6,6
