Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2026,PHI,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,POL,0,3,1,4,59,3,0,3,1,5,0,4,1
2026,POR,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,PUR,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,ROU,0,0,0,0,26,0,0,0,0,0,0,0,0
2026,RSA,0,0,0,0,5,0,0,0,0,0,0,0,0
2026,SGP,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,SLO,2,1,1,4,36,4,4,1,1,7,5,1,1
2026,SMR,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,SRB,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,SUI,6,7,6,19,128,39,5,10,28,47,7,12,28
2026,SVK,0,0,0,0,28,0,0,0,0,0,0,0,0
2026,SWE,6,7,3,16,73,18,7,10,6,27,8,13,6
2026,THA,0,0,0,0,3,0,0,0,0,0,0,0,0
2026,TPE,0,0,0,0,8,0,0,0,0,0,0,0,0
2026,TTO,0,0,0,0,4,0,0,0,0,0,0,0,0
2026,TUR,0,0,0,0,8,0,0,0,0,0,0,0,0
2026,UAE,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,UKR,0,0,0,0,46,0,0,0,0,0,0,0,0
2026,URU,0,0,0,0,1,0,0,0,0,0,0,0,0
2026,USA,10,12,9,31,182,59,38,15,10,68,40,17,11
2026,UZB,0,0,0,0,2,0,0,0,0,0,0,0,0
2026,VEN,0,0,0,0,1,0,0,0,0,0,0,0,0
